gen,min_gap,max_gap,avg_gap,spearman
1,0.359186,2.273240,1.183185,n/a
2,0.359186,1.759703,0.929563,0.589328
3,0.074881,2.369385,0.758048,0.676500
4,0.028892,1.863667,0.566704,0.632385
5,0.017962,1.556540,0.504871,0.505170
6,0.011750,1.628049,0.350624,0.508844
7,0.007360,1.962185,0.293467,0.407510
8,0.007360,1.356691,0.334569,0.799545
9,0.007360,2.031648,0.369168,0.999590
10,0.007360,1.157085,0.228090,0.741829
11,0.007360,0.711642,0.187511,0.899928
12,0.007360,0.677231,0.146333,0.949257
13,0.007360,1.553121,0.276273,0.896835
14,0.007360,1.000445,0.256023,0.863255
15,0.007360,0.922065,0.222285,0.863374
16,0.007360,1.068878,0.223943,0.902029
17,0.007360,1.278261,0.234351,0.663639
18,0.003279,1.372487,0.214832,0.902743
19,0.003279,0.922547,0.172037,0.852059
20,0.001673,1.240829,0.177950,0.902664
21,0.001673,0.903521,0.216605,0.808176
22,0.001673,0.975480,0.182144,0.902380
23,0.001673,0.953923,0.171156,0.857247
24,0.001673,1.139871,0.125493,0.905737
25,0.001673,0.732664,0.135076,0.950043
26,0.001673,0.717535,0.134894,0.902261
27,0.001673,0.865183,0.134557,0.806722
28,0.001673,1.508112,0.222966,0.906338
29,0.001673,1.335056,0.166408,0.858278
30,0.001673,0.828591,0.136385,0.900159
31,0.001673,0.885760,0.109942,0.816351
32,0.001673,0.904105,0.132361,0.870551
33,0.001673,1.443361,0.216974,0.808275
34,0.001673,1.737375,0.186012,0.901150
35,0.001673,0.953321,0.202614,0.672541
36,0.001673,1.225087,0.246196,0.949653
37,0.001673,1.114040,0.165171,0.862343
38,0.001673,0.485418,0.106826,0.827738
39,0.001673,1.455684,0.168376,0.829404
40,0.001673,1.221858,0.183853,0.854181
41,0.001673,0.883123,0.136348,0.762350